$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12337, thi_cuoiky-O11-23520199-51GDB, 2024-01-11 00:50:44, 2024-01-11 00:50:45, 3256, 344, 1
12338, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 00:50:52, 2024-01-11 00:50:53, 1258, 352, 1
12339, thi_cuoiky-O11-23520199-51GDB, 2024-01-11 00:51:01, 2024-01-11 00:51:02, 8979, 361, 1
12340, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 00:51:21, 2024-01-11 00:51:21, 6793, 381, 0
12341, thi_cuoiky-O11-23520307-YY4G2, 2024-01-11 00:51:47, 2024-01-11 00:51:47, 8566, 407, 0
12342, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 00:52:01, 2024-01-11 00:52:01, 9039, 421, 0
12343, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 00:52:27, 2024-01-11 00:52:27, 6469, 447, 0
12344, thi_cuoiky-O112-23521445-NU5MA, 2024-01-11 00:52:30, 2024-01-11 00:52:30, 6346, 450, 0
12345, thi_cuoiky-O11-23521143-E3XEW, 2024-01-11 00:52:40, 2024-01-11 00:52:41, 9242, 460, 1
12346, thi_cuoiky-O11-23520442-C21O2, 2024-01-11 00:52:46, 2024-01-11 00:52:46, 6815, 466, 0
12347, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 00:52:50, 2024-01-11 00:52:50, 18042, 470, 0
12348, thi_cuoiky-O11-23520514-N8ZLH, 2024-01-11 00:53:10, 2024-01-11 00:53:10, 8512, 490, 0
12349, thi_cuoiky-O110-23521262-BYG58, 2024-01-11 00:53:36, 2024-01-11 00:53:37, 1004, 516, 1
12350, thi_cuoiky-O11-23520044-X70JI, 2024-01-11 00:53:40, 2024-01-11 00:53:41, 6516, 520, 1
12351, thi_cuoiky-O110-23521064-NE0JR, 2024-01-11 00:53:45, 2024-01-11 00:53:45, 1170, 525, 0
12352, thi_cuoiky-O11-23520744-EVXEC, 2024-01-11 00:53:53, 2024-01-11 00:53:53, 6627, 533, 0
12353, thi_cuoiky-O11-23520526-3M4BH, 2024-01-11 00:53:53, 2024-01-11 00:53:54, 6597, 533, 1
12354, thi_cuoiky-O110-23521262-BYG58, 2024-01-11 00:53:58, 2024-01-11 00:53:58, 6075, 538, 0
12355, thi_cuoiky-O11-23520199-51GDB, 2024-01-11 00:54:06, 2024-01-11 00:54:06, 9175, 546, 0
